SU,Area_km2,Park_Area,Region,Moose_Seen,Moose_Tracks,Total_Moose_Estimate
623,4.74774,0,Outside,0,0,0
624,4.74783,0,Outside,0,0,0
625,4.74793,0,Outside,3,0,3
626,4.74804,0,Outside,0,1,1
627,4.74814,0,Outside,0,0,0
628,4.74824,0,Outside,0,0,0
629,4.74835,0,Outside,0,0,0
630,4.74846,0,Outside,2,0,2
631,4.74856,0,Outside,0,0,0
632,4.74867,0,Outside,0,1,1
633,4.74879,0,Outside,0,1,1
634,4.7489,0,Outside,0,0,0
635,3.08624,0,Outside,0,0,0
636,4.74853,0,Outside,0,0,0
637,4.50468,0,Outside,0,0,0
638,4.7487,0,Outside,0,1,1
639,4.74879,0,Outside,0,0,0
640,4.74888,0,Outside,0,0,0
641,4.74898,0,Outside,0,0,0
642,4.74907,0,Outside,0,0,0
643,4.74917,0,Outside,0,0,0
644,4.74927,0,Outside,0,0,0
645,4.74937,0,Outside,0,0,0
646,4.74947,0,Outside,0,2,1
647,4.74957,0,Outside,2,0,2
648,4.74968,0,Outside,0,1,0
649,4.74978,0,Outside,0,0,0
650,4.74989,0,Outside,0,0,0
651,4.75,0,Outside,0,1,0
652,4.75011,0,Outside,1,1,1
653,4.75022,0,Outside,1,2,2
654,4.3901,0,Outside,0,0,0
655,0.67758,0,Outside,0,0,0
656,4.74996,0,Outside,0,0,0
657,4.75005,0,Outside,0,1,0
658,4.75014,0,Outside,0,0,0
659,4.75023,0,Outside,0,0,0
660,4.75032,0,Outside,0,1,0
661,4.75041,0,Outside,0,0,0
662,4.75051,0,Outside,0,0,0
663,4.7506,0,Outside,0,0,0
664,4.7507,0,Outside,0,0,0
665,4.7508,0,Outside,0,2,1
666,4.7509,0,Outside,0,0,0
667,4.75101,0,Outside,0,0,0
668,4.75111,0,Outside,0,1,1
669,4.75122,0,Outside,0,0,0
670,4.75132,0,Outside,0,0,0
671,4.75143,0,Outside,0,0,0
672,4.75154,0,Outside,0,0,0
673,4.75166,0,Outside,0,2,1
674,1.8402,0,Outside,0,0,0
675,4.75139,0,Outside,0,0,0
676,4.75148,0,Outside,0,0,0
677,4.75157,0,Outside,0,1,1
678,4.75166,0,Outside,0,0,0
679,4.75175,0,Outside,1,0,1
680,4.75184,0,Outside,0,0,0
681,4.75194,0,Outside,0,0,0
682,4.75204,0,Outside,0,0,0
683,4.75213,0,Outside,0,0,0
684,4.75223,0,Outside,0,1,1
685,4.75234,0,Outside,0,0,0
686,4.75244,0,Outside,0,0,0
687,4.75254,0,Outside,0,0,0
688,4.75265,0,Outside,0,0,0
689,4.75276,0,Outside,0,2,1
690,4.75287,0,Outside,0,0,0
